cxy,cyx,cxz,min_abs,site,max_weight,maj_score
0.11,0.16999999999999998,0.037500000000000006,1.8991055738052062e-14,198,0.173477581702507,0.6273028803099565
0.11,0.16999999999999998,0.05,1.8991055738052062e-14,198,0.173477581702507,0.6273028803099565
0.11,0.18,0.0,7.137452067523355e-15,198,0.1895555089205211,0.8740489636558126
0.11,0.18,0.0125,7.137452067523355e-15,198,0.1895555089205211,0.8740489636558126
0.11,0.18,0.025,7.137452067523355e-15,198,0.1895555089205211,0.8740489636558126
0.11,0.18,0.037500000000000006,7.137452067523355e-15,198,0.1895555089205211,0.8740489636558126
0.11,0.18,0.05,7.137452067523355e-15,198,0.1895555089205211,0.8740489636558126
0.11,0.19,0.0,1.662444637381412e-15,198,0.23050797159594727,0.4280895728896224
0.11,0.19,0.0125,1.662444637381412e-15,198,0.23050797159594727,0.4280895728896224
0.11,0.19,0.025,1.662444637381412e-15,198,0.23050797159594727,0.4280895728896224
0.11,0.19,0.037500000000000006,1.662444637381412e-15,198,0.23050797159594727,0.4280895728896224
0.11,0.19,0.05,1.662444637381412e-15,198,0.23050797159594727,0.4280895728896224
0.11,0.2,0.0,6.310441813073754e-16,198,0.2804190811809182,0.9655682177059595
0.11,0.2,0.0125,6.310441813073754e-16,198,0.2804190811809182,0.9655682177059595
0.11,0.2,0.025,6.310441813073754e-16,198,0.2804190811809182,0.9655682177059595
0.11,0.2,0.037500000000000006,6.310441813073754e-16,198,0.2804190811809182,0.9655682177059595
0.11,0.2,0.05,6.310441813073754e-16,198,0.2804190811809182,0.9655682177059595
0.11,0.21,0.0,1.0388501791021468e-16,198,0.30953644097517297,0.3172368769161269
0.11,0.21,0.0125,1.0388501791021468e-16,198,0.30953644097517297,0.3172368769161269
0.11,0.21,0.025,1.0388501791021468e-16,198,0.30953644097517297,0.3172368769161269
0.11,0.21,0.037500000000000006,1.0388501791021468e-16,198,0.30953644097517297,0.3172368769161269
0.11,0.21,0.05,1.0388501791021468e-16,198,0.30953644097517297,0.3172368769161269
0.12,0.09,0.0,1.920259340429873e-11,198,0.13154608174569,0.5991107399067049
0.12,0.09,0.0125,1.920259340429873e-11,198,0.13154608174569,0.5991107399067049
0.12,0.09,0.025,1.920259340429873e-11,198,0.13154608174569,0.5991107399067049
0.12,0.09,0.037500000000000006,1.920259340429873e-11,198,0.13154608174569,0.5991107399067049
0.12,0.09,0.05,1.920259340429873e-11,198,0.13154608174569,0.5991107399067049
0.12,0.09999999999999999,0.0,6.321929558694251e-12,198,0.13512033358279582,0.5338223428575831
0.12,0.09999999999999999,0.0125,6.321929558694251e-12,198,0.13512033358279582,0.5338223428575831
0.12,0.09999999999999999,0.025,6.321929558694251e-12,198,0.13512033358279582,0.5338223428575831
0.12,0.09999999999999999,0.037500000000000006,6.321929558694251e-12,198,0.13512033358279582,0.5338223428575831
0.12,0.09999999999999999,0.05,6.321929558694251e-12,198,0.13512033358279582,0.5338223428575831
0.12,0.11,0.0,2.1016474401534494e-12,198,0.13852721703206092,0.838634833089187
0.12,0.11,0.0125,2.1016474401534494e-12,198,0.13852721703206092,0.838634833089187
0.12,0.11,0.025,2.1016474401534494e-12,198,0.13852721703206092,0.838634833089187
0.12,0.11,0.037500000000000006,2.1016474401534494e-12,198,0.13852721703206092,0.838634833089187
0.12,0.11,0.05,2.1016474401534494e-12,198,0.13852721703206092,0.838634833089187
0.12,0.12,0.0,6.945713853918308e-13,198,0.14194662800296032,0.7071067861749595
0.12,0.12,0.0125,6.945713853918308e-13,198,0.14194662800296032,0.7071067861749595
0.12,0.12,0.025,6.945713853918308e-13,198,0.14194662800296032,0.7071067861749595
0.12,0.12,0.037500000000000006,6.945713853918308e-13,198,0.14194662800296032,0.7071067861749595
0.12,0.12,0.05,6.945713853918308e-13,198,0.14194662800296032,0.7071067861749595
0.12,0.13,0.0,2.272524299615739e-13,198,0.1456725091609249,0.5751356598026637
0.12,0.13,0.0125,2.272524299615739e-13,198,0.1456725091609249,0.5751356598026637
0.12,0.13,0.025,2.272524299615739e-13,198,0.1456725091609249,0.5751356598026637
0.12,0.13,0.037500000000000006,2.272524299615739e-13,198,0.1456725091609249,0.5751356598026637
0.12,0.13,0.05,2.272524299615739e-13,198,0.1456725091609249,0.5751356598026637
0.12,0.14,0.0,7.60234924784935e-14,198,0.1512969561295374,0.8722405211595072
0.12,0.14,0.0125,7.60234924784935e-14,198,0.1512969561295374,0.8722405211595072
0.12,0.14,0.025,7.60234924784935e-14,198,0.1512969561295374,0.8722405211595072
0.12,0.14,0.037500000000000006,7.60234924784935e-14,198,0.1512969561295374,0.8722405211595072
0.12,0.14,0.05,7.60234924784935e-14,198,0.1512969561295374,0.8722405211595072
