t,a,b,c,q0,q1,q2,q3,phi
0.325,0.17890600358190603,0.002200289809339771,0.015918451587496028,0.9959688146435467,0.08933958895702675,0.00038469175815368734,0.008025591241073061,0.006500000000000001
0.33,0.18117805564004894,0.002330359554928679,0.01663304132068677,0.9958636263811581,0.09047163795430646,0.0004080153712904312,0.008387723188739642,0.006600000000000001
0.335,0.1834296854781974,0.0024657218704628083,0.017367279513527206,0.9957578597789275,0.0915934564708839,0.00043234079977132764,0.008759937307930548,0.0067
0.34,0.18566069758585094,0.002606484821761551,0.018121331403891015,0.995651545566911,0.0927049525799011,0.0004576924421492893,0.009142324376652782,0.0068000000000000005
0.34500000000000003,0.18787090097525988,0.0027527555027416434,0.01889535715306407,0.9955447139109533,0.09380603686756696,0.00048409479821926967,0.009534972647309271,0.006900000000000001
0.35000000000000003,0.19006010918900207,0.0029046400161332852,0.01968951184134138,0.9954373943843146,0.0948966224383892,0.0005115724876909186,0.009937967837644824,0.007000000000000001
0.355,0.19222814063649857,0.003062242633977886,0.020503945256993887,0.9953296159261957,0.09597662507982588,0.000540149868305125,0.01035139297958644,0.0070999999999999995
0.36,0.1943748183155701,0.0032256665371797246,0.021338802029398838,0.9952214068263057,0.09704596312806263,0.0005698514262386801,0.01077532851321942,0.0072
0.365,0.19649996989170837,0.0033950135725676167,0.02219422161944844,0.9951127946951589,0.09810455750727366,0.0006007016816987796,0.011209852264071566,0.0073
0.37,0.1986034278689778,0.0035703838094048425,0.02307033822785632,0.9950038064311368,0.09915233181289565,0.0006327249976364698,0.01165503936894135,0.0074
0.375,0.2006850295900155,0.003751875539389148,0.023967280795157527,0.9948944681953624,0.1001892123117831,0.0006659456050445063,0.012110962268229478,0.0075
0.38,0.20274461723603115,0.003939585276652741,0.024885173001708526,0.9947848053873277,0.10121512794223814,0.0007003876275522877,0.012577690698376016,0.0076
0.385,0.20478203782680723,0.0041336077577622974,0.0258241332676872,0.9946748426212915,0.1022300103139166,0.0007360751053027248,0.01305529168440183,0.0077
0.39,0.20679714322069875,0.0043340359417189545,0.026784274753092856,0.9945646037034629,0.10323379370761218,0.0007730320180963808,0.013543829532553037,0.0078000000000000005
0.395,0.20878979011463353,0.004540961009958313,0.027765705357746213,0.9944541116099865,0.10422641507492117,0.0008112823077887374,0.014043365823047237,0.0079
0.4,0.21075984007921786,0.004754472267206455,0.02876852771328704,0.994343388464147,0.1052078140545422,0.0008508498508004931,0.014553959393744698,0.008
0.405,0.21270715982480018,0.004974656402197404,0.02979283909681917,0.9942324555039966,0.10617793309842265,0.0008917581140482568,0.015075666250831062,0.008100000000000001
0.41000000000000003,0.21463162087605556,0.005201598414862788,0.030838731486468665,0.9941213330776582,0.10713671731517253,0.0009340306355122569,0.015608539637023978,0.0082
0.41500000000000004,0.21653309977097504,0.005435381033226962,0.031906291559603506,0.9940100406153316,0.10808411456369615,0.0009776907522711046,0.01615262999271531,0.0083
0.42,0.21841147812399375,0.00567608453307266,0.03299560068272511,0.9938985966084969,0.10902007548145541,0.0010227615293392073,0.016707984933332906,0.0084
0.425,0.22026664262599105,0.005923786737941013,0.03410673491146838,0.9937870185929392,0.1099445534824102,0.0010692657772427055,0.017274649241254367,0.0085
0.43,0.2220984850442903,0.0061785630191315295,0.03523976499060164,0.993675323132724,0.1108575047547985,0.0011172260687387053,0.017852664857880333,0.0086
0.435,0.22390690222265913,0.0064404862957021065,0.03639475635402667,0.9935635258051325,0.11175888825875778,0.0011666647546673859,0.018442070875867456,0.0087
