tc,cross_comp_2,score,target_residual,braid_res,ybe_res,best_axis
0.9166666666666667,-0.06666666666666668,6.772389087426714,0.7397211641919438,4.237478570632438,1.7951893526023326,z
0.9166666666666667,-0.05833333333333334,6.824944404994487,0.7972966662647367,4.194219404750256,1.8334283339794941,z
0.9166666666666667,-0.05,6.872392490457357,0.85521985720981,4.139616869319762,1.877555763927785,z
0.9166666666666667,-0.04166666666666667,6.914107305936862,0.9133698248783393,4.073109571012442,1.9276279100460807,z
0.9166666666666667,-0.03333333333333334,6.949539146237901,0.971630726471048,3.9943474016855434,1.9835610180813097,z
0.9166666666666667,-0.02500000000000001,6.978257387565616,1.029889462627034,3.90322731787512,2.045140607063463,z
0.9166666666666667,-0.016666666666666677,6.999995946444052,1.0880341031293848,3.7999241186320996,2.112037724682568,z
0.9166666666666667,-0.008333333333333345,7.01469701915282,1.145952823255252,3.6849144178306315,2.1838297780669365,z
0.9166666666666667,0.0,7.022548600837813,1.203533195253736,3.558992137846033,2.2600232677380436,z
0.9166666666666667,0.008333333333333331,7.024011643098154,1.2606617324710188,3.4232740622176525,2.3400758484094824,z
0.9166666666666667,0.016666666666666663,7.019833389476485,1.31722361724083,3.27919426011713,2.423415512118525,z
0.9166666666666667,0.024999999999999994,7.011044297894777,1.3731025653559163,3.1284865096754473,2.5094552228634135,z
0.9166666666666667,0.033333333333333326,6.998936902005992,1.4281807941999571,2.9731541661613488,2.5976019416446863,z
0.9166666666666667,0.04166666666666666,6.9850258951532265,1.4823390711513909,2.8154272072025064,2.6872596167993286,z
0.9166666666666667,0.04999999999999999,6.970989591110385,1.5354568253377787,2.6577064145653972,2.7778263512072097,z
0.9166666666666667,0.05833333333333332,6.9585937196970935,1.5874123102676798,2.502494834372503,2.868686575056911,z
0.9166666666666667,0.06666666666666665,6.949599324159728,1.6380828079657181,2.3523168962205867,2.9591996199734227,z
0.9166666666666667,0.07499999999999998,6.945657542596578,1.6873448674197797,2.2096261143555265,3.0486865608212717,z
0.9166666666666667,0.08333333333333331,6.94819565048131,1.7350745717034364,2.0767035716828453,3.1364175070950275,y
