combo,values,min_abs_E
X_X+Z_Z+Y_X,0.1,1.322419e-01
X_X+Z_Z+Y_X,0.15,2.197534e-01
X_X+Z_Z+Y_X,0.2,3.231735e-01
X_X+Z_Z+Y_X,0.25,4.357066e-01
X_X+Z_Z+Y_X,0.3,5.547597e-01
X_X+Z_Z+X_Z,0,5.663742e-03
X_X+Z_Z+X_Z,0.05,2.347288e-03
X_X+Z_Z+X_Z,0.1,2.240990e-04
X_X+Z_Z+X_Z,0.15,1.881514e-05
X_X+Z_Z+X_Z,0.2,9.997956e-07
X_X+Z_Z+X_Z,0.25,1.680337e-08
X_X+Z_Z+X_Z,0.3,6.774073e-04
X_X+Z_Z+Y_Z,0,5.663742e-03
X_X+Z_Z+Y_Z,0.05,2.347288e-03
X_X+Z_Z+Y_Z,0.1,2.240990e-04
X_X+Z_Z+Y_Z,0.15,1.881514e-05
X_X+Z_Z+Y_Z,0.2,9.997956e-07
X_X+Z_Z+Y_Z,0.25,1.680337e-08
X_X+Z_Z+Y_Z,0.3,6.774073e-04
X_X+Z_Z+Z_X,0,5.663742e-03
X_X+Z_Z+Z_X,0.05,2.347288e-03
X_X+Z_Z+Z_X,0.1,2.240990e-04
X_X+Z_Z+Z_X,0.15,1.881514e-05
X_X+Z_Z+Z_X,0.2,9.997956e-07
X_X+Z_Z+Z_X,0.25,1.680337e-08
X_X+Z_Z+Z_X,0.3,6.774073e-04
X_X+Z_Z+Z_Y,0,5.663742e-03
X_X+Z_Z+Z_Y,0.05,2.347288e-03
X_X+Z_Z+Z_Y,0.1,2.240990e-04
X_X+Z_Z+Z_Y,0.15,1.881514e-05
X_X+Z_Z+Z_Y,0.2,9.997956e-07
X_X+Z_Z+Z_Y,0.25,1.680337e-08
X_X+Z_Z+Z_Y,0.3,6.774073e-04
X_X+X_Y+Y_X,0,5.663742e-03
X_X+X_Y+Y_X,0.05,1.575992e-04
X_X+X_Y+Y_X,0.1,2.600738e-07
X_X+X_Y+Y_X,0.15,4.847047e-10
X_X+X_Y+Y_X,0.2,4.577858e-13
X_X+X_Y+Y_X,0.25,1.705016e-15
X_X+X_Y+Y_X,0.3,5.638899e-16
X_X+X_Y+X_Z,0,5.663742e-03
X_X+X_Y+X_Z,0.05,5.219474e-02
X_X+X_Y+X_Z,0.1,4.838864e-02
X_X+X_Y+X_Z,0.15,2.949911e-02
X_X+X_Y+X_Z,0.2,1.092714e-02
X_X+X_Y+X_Z,0.25,3.146050e-03
X_X+X_Y+X_Z,0.3,8.058181e-04
X_X+X_Y+Y_Z,0,5.663742e-03
X_X+X_Y+Y_Z,0.05,5.219474e-02
X_X+X_Y+Y_Z,0.1,4.838864e-02
X_X+X_Y+Y_Z,0.15,2.949911e-02
X_X+X_Y+Y_Z,0.2,1.092714e-02
X_X+X_Y+Y_Z,0.25,3.146050e-03
X_X+X_Y+Y_Z,0.3,8.058181e-04
X_X+X_Y+Z_X,0,5.663742e-03
X_X+X_Y+Z_X,0.05,5.219474e-02
X_X+X_Y+Z_X,0.1,4.838864e-02
X_X+X_Y+Z_X,0.15,2.949911e-02
X_X+X_Y+Z_X,0.2,1.092714e-02
X_X+X_Y+Z_X,0.25,3.146050e-03
X_X+X_Y+Z_X,0.3,8.058181e-04
X_X+X_Y+Z_Y,0,5.663742e-03
X_X+X_Y+Z_Y,0.05,5.219474e-02
X_X+X_Y+Z_Y,0.1,4.838864e-02
X_X+X_Y+Z_Y,0.15,2.949911e-02
X_X+X_Y+Z_Y,0.2,1.092714e-02
X_X+X_Y+Z_Y,0.25,3.146050e-03
X_X+X_Y+Z_Y,0.3,8.058181e-04
X_X+Y_X+X_Z,0,5.663742e-03
X_X+Y_X+X_Z,0.05,5.219474e-02
X_X+Y_X+X_Z,0.1,4.838864e-02
X_X+Y_X+X_Z,0.15,2.949911e-02
X_X+Y_X+X_Z,0.2,1.092714e-02
X_X+Y_X+X_Z,0.25,3.146050e-03
X_X+Y_X+X_Z,0.3,8.058181e-04
X_X+Y_X+Y_Z,0,5.663742e-03
X_X+Y_X+Y_Z,0.05,5.219474e-02
X_X+Y_X+Y_Z,0.1,4.838864e-02
X_X+Y_X+Y_Z,0.15,2.949911e-02
X_X+Y_X+Y_Z,0.2,1.092714e-02
X_X+Y_X+Y_Z,0.25,3.146050e-03
X_X+Y_X+Y_Z,0.3,8.058181e-04
X_X+Y_X+Z_X,0,5.663742e-03
X_X+Y_X+Z_X,0.05,5.219474e-02
X_X+Y_X+Z_X,0.1,4.838864e-02
X_X+Y_X+Z_X,0.15,2.949911e-02
X_X+Y_X+Z_X,0.2,1.092714e-02
X_X+Y_X+Z_X,0.25,3.146050e-03
X_X+Y_X+Z_X,0.3,8.058181e-04
X_X+Y_X+Z_Y,0,5.663742e-03
X_X+Y_X+Z_Y,0.05,5.219474e-02
X_X+Y_X+Z_Y,0.1,4.838864e-02
X_X+Y_X+Z_Y,0.15,2.949911e-02
X_X+Y_X+Z_Y,0.2,1.092714e-02
X_X+Y_X+Z_Y,0.25,3.146050e-03
X_X+Y_X+Z_Y,0.3,8.058181e-04
X_X+X_Z+Y_Z,0,5.663742e-03
X_X+X_Z+Y_Z,0.05,4.150180e-03
X_X+X_Z+Y_Z,0.1,1.230824e-04
X_X+X_Z+Y_Z,0.15,5.460443e-06
X_X+X_Z+Y_Z,0.2,7.568225e-07
X_X+X_Z+Y_Z,0.25,3.036362e-08
X_X+X_Z+Y_Z,0.3,5.176584e-09
X_X+X_Z+Z_X,0,5.663742e-03
X_X+X_Z+Z_X,0.05,4.150180e-03
X_X+X_Z+Z_X,0.1,1.230824e-04
X_X+X_Z+Z_X,0.15,5.460443e-06
X_X+X_Z+Z_X,0.2,7.568225e-07
X_X+X_Z+Z_X,0.25,3.036362e-08
X_X+X_Z+Z_X,0.3,5.176584e-09
X_X+X_Z+Z_Y,0,5.663742e-03
X_X+X_Z+Z_Y,0.05,4.150180e-03
X_X+X_Z+Z_Y,0.1,1.230824e-04
X_X+X_Z+Z_Y,0.15,5.460443e-06
X_X+X_Z+Z_Y,0.2,7.568225e-07
X_X+X_Z+Z_Y,0.25,3.036362e-08
X_X+X_Z+Z_Y,0.3,5.176584e-09
X_X+Y_Z+Z_X,0,5.663742e-03
X_X+Y_Z+Z_X,0.05,4.150180e-03
X_X+Y_Z+Z_X,0.1,1.230824e-04
X_X+Y_Z+Z_X,0.15,5.460443e-06
X_X+Y_Z+Z_X,0.2,7.568225e-07
X_X+Y_Z+Z_X,0.25,3.036362e-08
X_X+Y_Z+Z_X,0.3,5.176584e-09
X_X+Y_Z+Z_Y,0,5.663742e-03
X_X+Y_Z+Z_Y,0.05,4.150180e-03
X_X+Y_Z+Z_Y,0.1,1.230824e-04
X_X+Y_Z+Z_Y,0.15,5.460443e-06
X_X+Y_Z+Z_Y,0.2,7.568225e-07
X_X+Y_Z+Z_Y,0.25,3.036362e-08
X_X+Y_Z+Z_Y,0.3,5.176584e-09
X_X+Z_X+Z_Y,0,5.663742e-03
X_X+Z_X+Z_Y,0.05,4.150180e-03
X_X+Z_X+Z_Y,0.1,1.230824e-04
X_X+Z_X+Z_Y,0.15,5.460443e-06
X_X+Z_X+Z_Y,0.2,7.568225e-07
X_X+Z_X+Z_Y,0.25,3.036362e-08
X_X+Z_X+Z_Y,0.3,5.176584e-09
Y_Y+Z_Z+X_Y,0,5.663742e-03
Y_Y+Z_Z+X_Y,0.05,5.945334e-02
Y_Y+Z_Z+X_Y,0.1,1.322419e-01
Y_Y+Z_Z+X_Y,0.15,2.197534e-01
Y_Y+Z_Z+X_Y,0.2,3.231735e-01
Y_Y+Z_Z+X_Y,0.25,4.357066e-01
Y_Y+Z_Z+X_Y,0.3,5.547597e-01
Y_Y+Z_Z+Y_X,0,5.663742e-03
Y_Y+Z_Z+Y_X,0.05,5.945334e-02
Y_Y+Z_Z+Y_X,0.1,1.322419e-01
Y_Y+Z_Z+Y_X,0.15,2.197534e-01
Y_Y+Z_Z+Y_X,0.2,3.231735e-01
Y_Y+Z_Z+Y_X,0.25,4.357066e-01
Y_Y+Z_Z+Y_X,0.3,5.547597e-01
Y_Y+Z_Z+X_Z,0,5.663742e-03
Y_Y+Z_Z+X_Z,0.05,2.347288e-03
Y_Y+Z_Z+X_Z,0.1,2.240990e-04
Y_Y+Z_Z+X_Z,0.15,1.881514e-05
Y_Y+Z_Z+X_Z,0.2,9.997956e-07
Y_Y+Z_Z+X_Z,0.25,1.680337e-08
Y_Y+Z_Z+X_Z,0.3,6.774073e-04
Y_Y+Z_Z+Y_Z,0,5.663742e-03
Y_Y+Z_Z+Y_Z,0.05,2.347288e-03
Y_Y+Z_Z+Y_Z,0.1,2.240990e-04
Y_Y+Z_Z+Y_Z,0.15,1.881514e-05
Y_Y+Z_Z+Y_Z,0.2,9.997956e-07
Y_Y+Z_Z+Y_Z,0.25,1.680337e-08
Y_Y+Z_Z+Y_Z,0.3,6.774073e-04
Y_Y+Z_Z+Z_X,0,5.663742e-03
Y_Y+Z_Z+Z_X,0.05,2.347288e-03
Y_Y+Z_Z+Z_X,0.1,2.240990e-04
Y_Y+Z_Z+Z_X,0.15,1.881514e-05
Y_Y+Z_Z+Z_X,0.2,9.997956e-07
Y_Y+Z_Z+Z_X,0.25,1.680337e-08
Y_Y+Z_Z+Z_X,0.3,6.774073e-04
Y_Y+Z_Z+Z_Y,0,5.663742e-03
